epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,4135.35,0.81499,1.07516,0.37127,0.778,0.9236,0.8777,0.95737,0.73741,0.5376,0.5415,0.48288,0.13172,0.8889,1.55812,0.5034,0.77181,0.00053975,0.00053975,0.00053975
61,4197.21,0.80851,1.06972,0.3716,0.778,0.91436,0.86295,0.95275,0.72474,0.56982,0.53288,0.49718,0.13533,0.92899,1.63257,0.55924,0.77201,0.000515,0.000515,0.000515
62,4259.64,0.81911,1.11804,0.37161,0.77596,0.90759,0.86849,0.95341,0.73226,0.5448,0.5274,0.48744,0.13396,0.89937,1.67788,0.56435,0.77153,0.00049025,0.00049025,0.00049025
63,4322.49,0.82623,1.12095,0.37297,0.77912,0.92049,0.87397,0.95782,0.73866,0.56947,0.54247,0.49128,0.13578,0.87785,1.65675,0.51843,0.77106,0.0004655,0.0004655,0.0004655
64,4385.44,0.83748,1.134,0.37603,0.77924,0.9188,0.86797,0.94901,0.72792,0.5478,0.52329,0.46026,0.1246,0.89769,1.69052,0.55734,0.77203,0.00044075,0.00044075,0.00044075
65,4447.79,0.81666,1.12643,0.37023,0.78009,0.92848,0.86712,0.95212,0.72918,0.57609,0.53562,0.49025,0.13051,0.90239,1.66743,0.52891,0.77162,0.000416,0.000416,0.000416
66,4510.49,0.81965,1.09152,0.36979,0.77603,0.91249,0.9,0.95723,0.72546,0.57712,0.56833,0.51283,0.14236,0.92038,1.75546,0.5047,0.77054,0.00039125,0.00039125,0.00039125
67,4572.87,0.80018,1.09099,0.36564,0.77835,0.91281,0.87477,0.95526,0.73208,0.55528,0.5439,0.49001,0.13993,0.90077,1.69491,0.5351,0.77162,0.0003665,0.0003665,0.0003665
68,4635.81,0.79635,1.09773,0.3586,0.77955,0.92607,0.87945,0.95809,0.74153,0.55569,0.53562,0.49188,0.1409,0.89944,1.66032,0.5273,0.77181,0.00034175,0.00034175,0.00034175
69,4698.33,0.79721,1.07218,0.36436,0.77854,0.91292,0.87123,0.9543,0.72852,0.56775,0.54521,0.49628,0.14,0.91288,1.67118,0.52644,0.77151,0.000317,0.000317,0.000317
