epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,773.274,0.89747,1.14404,0.43109,0.78466,0.93871,0.8786,0.96522,0.71741,0.5709,0.56681,0.48717,0.15774,0.90683,1.1121,0.46081,0.77918,0.001274,0.001274,0.001274
46,790.171,0.87822,1.14558,0.43336,0.7858,0.92729,0.89083,0.96497,0.70343,0.59995,0.59039,0.53096,0.17481,0.93251,1.08351,0.46119,0.77959,0.0012575,0.0012575,0.0012575
47,807.188,0.88378,1.13209,0.42337,0.78445,0.93764,0.86026,0.9561,0.69473,0.61732,0.5441,0.502,0.1526,0.91814,1.10861,0.46448,0.78041,0.001241,0.001241,0.001241
48,823.828,0.91358,1.15144,0.43871,0.78212,0.93991,0.89083,0.96508,0.69704,0.59734,0.58951,0.49436,0.15187,0.94665,1.14089,0.45751,0.77655,0.0012245,0.0012245,0.0012245
49,840.366,0.93648,1.12775,0.4483,0.78641,0.93941,0.88908,0.96313,0.69241,0.57533,0.56419,0.47626,0.13446,0.95962,1.10303,0.46133,0.77995,0.001208,0.001208,0.001208
50,857.454,0.90053,1.16793,0.43591,0.78313,0.93514,0.86884,0.95595,0.71021,0.54145,0.52489,0.44497,0.13141,0.86805,1.10811,0.44983,0.77921,0.0011915,0.0011915,0.0011915
51,874.205,0.90048,1.17116,0.42634,0.78711,0.94665,0.85229,0.94998,0.69722,0.60422,0.54399,0.45249,0.12953,0.87029,1.07992,0.44994,0.77881,0.001175,0.001175,0.001175
52,890.998,0.87262,1.08378,0.4258,0.78364,0.9382,0.869,0.95849,0.69439,0.61028,0.5703,0.48353,0.14928,0.94353,1.09627,0.4599,0.78122,0.0011585,0.0011585,0.0011585
53,907.739,0.88071,1.11255,0.42655,0.78092,0.94525,0.88035,0.96258,0.71222,0.59021,0.55808,0.47368,0.14043,0.8916,1.17275,0.4412,0.77977,0.001142,0.001142,0.001142
54,924.919,0.87843,1.10098,0.41487,0.78435,0.94946,0.86957,0.95756,0.71059,0.56372,0.5214,0.44501,0.1265,0.84042,1.13233,0.42431,0.77822,0.0011255,0.0011255,0.0011255
55,941.622,0.84296,1.13555,0.40684,0.77916,0.94538,0.87672,0.95946,0.72135,0.57379,0.55966,0.49666,0.14763,0.86073,1.14586,0.41838,0.77787,0.001109,0.001109,0.001109
56,958.435,0.85339,1.13449,0.41823,0.7827,0.94042,0.88646,0.96671,0.7217,0.58693,0.54847,0.4678,0.14242,0.851,1.08273,0.41664,0.77457,0.0010925,0.0010925,0.0010925
57,974.769,0.86254,1.15861,0.42456,0.78129,0.92611,0.88671,0.9609,0.72223,0.57789,0.55359,0.4547,0.13569,0.84363,1.06444,0.42428,0.7773,0.001076,0.001076,0.001076
58,991.493,0.84297,1.12226,0.41091,0.77915,0.9271,0.8786,0.95638,0.71247,0.6016,0.54236,0.48253,0.14409,0.89767,1.10335,0.44188,0.77837,0.0010595,0.0010595,0.0010595
59,1008.11,0.82177,1.08708,0.41142,0.78095,0.93282,0.88522,0.96389,0.72804,0.55409,0.56245,0.45975,0.13187,0.81677,1.05475,0.40725,0.7754,0.001043,0.001043,0.001043
60,1024.81,0.85332,1.14302,0.41569,0.77994,0.93014,0.88374,0.96267,0.72046,0.57394,0.56245,0.48603,0.14602,0.83911,1.09095,0.42492,0.77657,0.0010265,0.0010265,0.0010265
61,1041.28,0.85569,1.08008,0.4166,0.77893,0.93147,0.87773,0.96035,0.72815,0.57691,0.5441,0.46419,0.13308,0.82008,1.05821,0.41898,0.77739,0.00101,0.00101,0.00101
62,1057.82,0.84432,1.0923,0.41145,0.78071,0.93999,0.87948,0.9648,0.72796,0.53917,0.5441,0.44877,0.12267,0.84182,1.08702,0.41753,0.77801,0.0009935,0.0009935,0.0009935
63,1074.44,0.82664,1.08754,0.40833,0.78061,0.93031,0.8786,0.96109,0.72343,0.56509,0.53013,0.45156,0.13089,0.84209,1.07142,0.42039,0.77636,0.000977,0.000977,0.000977
64,1091.04,0.8232,1.09499,0.40326,0.78265,0.95109,0.85415,0.9581,0.7238,0.56323,0.5451,0.45518,0.1355,0.86095,1.15296,0.44146,0.77826,0.0009605,0.0009605,0.0009605
65,1107.57,0.84687,1.09362,0.41632,0.78028,0.92117,0.88908,0.96276,0.70781,0.61475,0.58952,0.51845,0.16367,0.91724,1.12309,0.4409,0.77812,0.000944,0.000944,0.000944
66,1124.13,0.84445,1.06139,0.40878,0.78314,0.9229,0.89903,0.96782,0.72679,0.58149,0.58246,0.50909,0.15923,0.8602,1.07004,0.42454,0.77675,0.0009275,0.0009275,0.0009275
67,1140.85,0.82434,1.07252,0.41074,0.7802,0.95332,0.85606,0.96023,0.72579,0.58946,0.54585,0.50206,0.14612,0.84682,1.11397,0.43678,0.77817,0.000911,0.000911,0.000911
68,1157.53,0.88284,1.14569,0.41984,0.78275,0.91967,0.90044,0.96352,0.68744,0.59597,0.58341,0.50598,0.15816,0.93408,1.21691,0.43367,0.77872,0.0008945,0.0008945,0.0008945
69,1174.85,0.85007,1.14388,0.40878,0.7814,0.937,0.88332,0.96217,0.72503,0.5724,0.53078,0.45788,0.13191,0.82104,1.07831,0.41194,0.77695,0.000878,0.000878,0.000878
70,1191.91,0.82069,1.06759,0.39985,0.78029,0.92867,0.85275,0.93838,0.65357,0.51157,0.47424,0.39516,0.10338,0.93708,1.21005,0.45567,0.78272,0.0008615,0.0008615,0.0008615
