epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1593.25,0.45336,0.58503,0.34174,0.86065,0.99871,1,0.995,0.92636,0.99871,1,0.995,0.92536,0.37084,0.53915,0.23524,0.81995,0.0008615,0.0008615,0.0008615
71,1616.17,0.44521,0.585,0.34027,0.86626,0.99868,1,0.995,0.93457,0.99868,1,0.995,0.93217,0.40301,0.55447,0.24765,0.82204,0.000845,0.000845,0.000845
72,1638.99,0.45246,0.61096,0.35109,0.86663,0.99859,1,0.995,0.95034,0.99859,1,0.995,0.93016,0.35215,0.59344,0.23614,0.81082,0.0008285,0.0008285,0.0008285
73,1661.63,0.4345,0.59826,0.32104,0.86214,0.99876,1,0.995,0.92773,0.99876,1,0.995,0.93776,0.47695,0.52473,0.25864,0.91348,0.000812,0.000812,0.000812
74,1684.67,0.43939,0.59284,0.31983,0.85823,0.99874,1,0.995,0.93462,0.99874,1,0.995,0.93048,0.4787,0.55116,0.24976,0.94362,0.0007955,0.0007955,0.0007955
75,1707.19,0.42722,0.59556,0.31362,0.86577,0.99875,1,0.995,0.92963,0.99875,1,0.995,0.9359,0.46985,0.52893,0.24227,0.95097,0.000779,0.000779,0.000779
76,1729.69,0.42662,0.60194,0.30833,0.86459,0.99873,1,0.995,0.93659,0.99873,1,0.995,0.92852,0.39686,0.53474,0.24862,0.84164,0.0007625,0.0007625,0.0007625
77,1752.47,0.43317,0.60141,0.32408,0.86062,0.99873,1,0.995,0.94045,0.99873,1,0.995,0.93199,0.41088,0.54668,0.26113,0.83573,0.000746,0.000746,0.000746
78,1775.04,0.42039,0.589,0.3289,0.85649,0.99869,1,0.995,0.95255,0.99869,1,0.995,0.93019,0.36321,0.5752,0.22796,0.82033,0.0007295,0.0007295,0.0007295
79,1797.57,0.43841,0.60463,0.33935,0.87128,0.9987,1,0.995,0.93148,0.9987,1,0.995,0.93815,0.37031,0.56258,0.23828,0.81836,0.000713,0.000713,0.000713
